isin,stock_name,lseg_name,orgnr
SE0000100026,Active Biotech AB ser. A,Active Biotech AB publ,5562239227
SE0000100182,AGA AB ser. A,Linde Sverige AB,5560091331
SE0000100208,AGA AB ser. B,Linde Sverige AB,5560091331
SE0000100505,Lundin Oil AB ser. B,Talisman Energy Sweden AB,5562979483
SE0000100844,Argonaut AB ser. A,Kappahl Molndal 2 AB,5562266477
SE0000100919,"ABB, ser. A",Hitachi Energy Sweden AB,5560297029
SE0000100927,ABB ser. B,Hitachi Energy Sweden AB,5560297029
SE0000101008,"Astra, AB, ser. A, fria",Astrazeneca AB,5560117482
SE0000101016,"Astra, AB, ser. B, fria",Astrazeneca AB,5560117482
SE0000101362,Bergman & Beving AB ser. B,Bergman & Beving AB,5560348590
SE0000101552,"BTL AB, ser. A, fr",Schenker North & East AB,5560164310
SE0000101578,"Bilspedition AB, ser. B,fr",Schenker North & East AB,5560164310
SE0000101669,ElektronikGruppen BK AB ser. B,ElektronikGruppen BK AB,5560722547
SE0000101891,Borås Wäfveri AB ser. B,Boras Wafveri AB,5561089052
SE0000102006,BRIO AB ser. B,BRIO Leksaker AB,5562019686
SE0000102295,Catena AB ser. A,Bilia AB,5561125690
SE0000102642,"Cloetta, AB ser. B",Fazer Services AB,5560142357
SE0000102790,Kalmar Industries AB,Kalmar Finland Oy,09868201
SE0000102824,Concordia Maritime AB ser. B,Concordia Maritime AB,5560685819
SE0000103046,"Custos, AB ser. B (Old)",AB Custos,5560361668
SE0000103152,"Marieberg, Tidnings AB, ser A,fr",Tidnings Marieberg AB,5560028796
SE0000103780,Eldon AB ser. B,Eldon AB,5563681104
SE0000104051,Esselte AB ser. A,Esselte AB,5560114554
SE0000104077,Esselte AB ser. B,Esselte AB,5560114554
SE0000104150,Scancem AB ser. A,HeidelbergCement Sweden AB,5560006057
SE0000104176,Scancem AB ser. B,HeidelbergCement Sweden AB,5560006057
SE0000104259,"FABEGE AB, ser. B, fr",Fabege AB,5560491523
SE0000104416,"Kinnevik, Industriförvaltnings A",Kinnevik Industriforvaltnings AB,5560019035
SE0000104580,"Sweco AB, ser. A",Humlegarden Fastigheter AB,5566821202
SE0000104606,FFNS B,Humlegarden Fastigheter AB,5566821202
SE0000104788,Fjällräven AB ser. B,Fenix Outdoor AB,5561106310
SE0000105082,"Storheden AB, ser. B,fr",Fabege Storstockholm AB,5561309039
SE0000105116,Frontec AB ser. B,Acando AB,5562725092
SE0000105199,Garphyttan Industrier AB,Haldex AB,5560101155
SE0000105264,"Geveko, AB ser. B",Geveko AB,5560246844
SE0000105371,"Gotland, Rederiab. ser. A",Rederi Gotland AB,5560008020
SE0000105397,"Gotland, Rederiab. ser. B",Rederi Gotland AB,5560008020
SE0000106205,Peab AB ser. B,Peab AB,5560614330
SE0000106270,"HM AB, ser. B",H & M Hennes & Mauritz AB,5560427220
SE0000106304,"Latour, Investmentab. ser. A",Investment AB Latour,5560263237
SE0000106759,IBS AB ser. B,Iptor Supply Chain Systems AB,5561987289
SE0000107203,"Industrivärden, AB ser. C",Industrivarden AB,5560434200
SE0000107724,KABE AB ser. B,KABE Group AB,5560972233
SE0000108169,Svedala Industri AB,Metso Outotec Sweden AB,5562165653
SE0000108201,"SKF, AB ser. A",SKF AB,5560073495
SE0000108227,"SKF, AB ser. B",SKF AB,5560073495
SE0000108300,"TurnIT AB, ser. B",DistIT AB,5561164384
SE0000108581,Lindab AB ser. B,Lindab AB,5560682022
SE0000108649,"Ericsson, Telefonab. L M ser. A",Telefonaktiebolaget LM Ericsson,5560160680
SE0000108656,"Ericsson, Telefonab. ser. B",Telefonaktiebolaget LM Ericsson,5560160680
SE0000108847,"Lundbergföretagen AB, L E ser. B",L E Lundbergforetagen AB (publ),5560568817
SE0000109985,"Nordström & Thulin AB, ser B,fr",Kappahl Molndal 2 AB,5562266477
SE0000110322,HOIST International AB ser. B,Hoist Finance AB (publ),5560128489
SE0000110710,Perstorp AB ser. A,Perstorp AB,5560246513
SE0000110736,Perstorp AB ser. B,Perstorp AB,5560246513
SE0000110819,"Spectra-Physics AB, ser. A, fria",Spectra-Physics AB,5560158882
SE0000110959,Platzer Fastigheter AB ser. B,Platzer Fastigheter AB,5561025692
SE0000111155,Extended Capital Group ECG AB se,Stockwik Forvaltning AB,5562947845
SE0000111940,Ratos AB ser. B,Ratos AB,5560083585
SE0000112252,Rottneros AB,Rottneros AB,5560135872
SE0000112625,Sandvik AB ser. B,Sandvik AB,5560003468
SE0000112724,SCA ser. B,Svenska Cellulosa Aktiebolaget SCA,5560126293
SE0000113094,Skandia Försäkringsab,Forsakringsaktiebolaget Skandia (publ),5020173083
SE0000113250,"Skanska AB, ser. B",Skanska AB,5560004615
SE0000113516,Spendrups Bryggeriab. ser. B,Spendrups Bryggeriaktiebolag,5560796871
SE0000113730,"Stora Kopparb. Bergsl.AB, A,fr",Stora Kopparbergs Bergslags AB,5560022096
SE0000113797,Strålfors AB ser. B,PostNord Stralfors Group AB,5560620618
SE0000114431,Sydkraft AB ser. A,EON Sverige AB,5560068420
SE0000114456,Sydkraft AB ser. C,EON Sverige AB,5560068420
SE0000114662,Tivox AB ser. B,Tivox AB,5561769596
SE0000114837,Trelleborg AB ser. B,Trelleborg AB,5560063421
SE0000115107,VBG AB ser. B,VBG Group AB (publ),5560690751
SE0000115404,WM-data AB ser. B,CGI IT konsulter AB,5561245233
SE0000115420,"Volvo, AB ser. A",Volvo AB,5560125790
SE0000115446,"Volvo, AB ser. B",Volvo AB,5560125790
SE0000115503,ZETECO AB ser. B,Zeteco AB,5560691338
SE0000116634,ICB Shipping AB ser. A,Icb Shipping AB,5562718337
SE0000116642,ICB Shipping AB ser. B,Icb Shipping AB,5562718337
SE0000116717,"Trelleborg AB, ser. C, fr",Trelleborg AB,5560063421
SE0000116949,Stena Line AB ser. B,Rosenborgs Securities AB,5562078005
SE0000117822,Argonaut AB ser. B,Kappahl Molndal 2 AB,5562266477
SE0000117970,NCC AB ser. B,NCC AB,5560345174
SE0000118838,Seco Tools AB ser. B,Seco Tools AB,5560711060
SE0000118945,"Stora Kopparb. Bergsl.AB, B,fr",Stora Kopparbergs Bergslags AB,5560022096
SE0000118952,NCC AB ser. A,NCC AB,5560345174
SE0000119299,Elanders AB ser. B,Elanders AB,5560081621
SE0000120164,"Frontline AB, fria (Old)",Frontline Plc,HE442213
SE0000120222,"Kinnevik, Industriförvaltnings A",Kinnevik Industriforvaltnings AB,5560019035
SE0000120669,SSAB AB ser. B,SSAB AB,5560163429
SE0000120776,"Westergyllen, AB ser. B",Elos Medtech AB,5560219650
SE0000120784,SEB ser. C,Skandinaviska Enskilda Banken AB,5020329081
SE0000120818,"Trygg-Hansa ser. B,fr",Trygg-Hansa FAB (publ),5164017799
SE0000122657,Midway Holding AB ser. A,HAKI Safety AB,5563232536
SE0000122673,Midway Holding AB ser. B,HAKI Safety AB,5563232536
SE0000123085,Ortivus AB ser. B,Ortivus AB,5562591205
SE0000123267,"ERRCE AB, ser. B",Bulten Fasteners AB,5560108861
SE0000123671,"Rejlerkoncernen AB, ser. B",Rejlers AB (publ),5563498426
SE0000135303,"Celtica, Fastighetsab.",Fastighetsaktiebolaget Celtica,5563509727
SE0000135485,Taurus Petroleum AB ser. B,RaySearch Laboratories AB (publ),5563226157
SE0000135501,"Solitair Kapital AB, fria",Solitair Kapital AB,5563859643
SE0000143430,"Forcenergy AB, ser B,fr",Forcenergy AB,5562178177
